180,14.2857,List not found : ,159,134,140,165,138,157 , List used : ,159,134,140,165,138,157,185
207,57.1429,List not found : ,199,141,147 , List used : ,209,208,200,199,142,141,147
Average  ,38.961

ratio CLD / HTD : 20% number img used  8
0,62.5,List not found : ,67,5,6 , List used : ,61,25,67,37,5,70,33,6
1,25,List not found : ,16,89,49,32,76,28 , List used : ,2,16,89,49,32,3,76,28
44,50,List not found : ,53,14,30,42 , List used : ,43,45,39,40,53,14,30,42
52,25,List not found : ,30,59,72,31,101,14 , List used : ,53,30,59,72,31,101,14,50
71,50,List not found : ,38,57,50,34 , List used : ,29,20,7,38,57,50,34,68
86,25,List not found : ,81,125,124,118,99,110 , List used : ,80,81,125,124,118,99,110,96
141,50,List not found : ,202,131,171,133 , List used : ,142,199,176,143,202,131,171,133
144,25,List not found : ,198,159,132,168,138,171 , List used : ,198,158,159,132,164,168,138,171
169,37.5,List not found : ,159,198,134,151,174 , List used : ,168,170,159,198,134,171,151,174
180,12.5,List not found : ,159,134,140,165,138,157,168 , List used : ,159,134,140,165,138,157,185,168
207,50,List not found : ,199,141,147,149 , List used : ,209,208,200,199,142,141,147,149
Average  ,37.5

ratio CLD / HTD : 20% number img used  9
0,55.5556,List not found : ,67,5,6,60 , List used : ,61,25,67,37,5,70,33,6,60
1,22.2222,List not found : ,16,89,49,32,76,28,29 , List used : ,2,16,89,49,32,3,76,28,29
44,44.4444,List not found : ,53,14,30,42,31 , List used : ,43,45,39,40,53,14,30,42,31
52,22.2222,List not found : ,30,59,72,31,101,14,78 , List used : ,53,30,59,72,31,101,14,50,78
71,44.4444,List not found : ,38,57,50,34,1 , List used : ,29,20,7,38,57,50,34,68,1
86,22.2222,List not found : ,81,125,124,118,99,110,113 , List used : ,80,81,125,124,118,99,110,96,113
141,44.4444,List not found : ,202,131,171,133,135 , List used : ,142,199,176,143,202,131,171,133,135
144,33.3333,List not found : ,198,159,132,168,138,171 , List used : ,198,158,159,132,164,168,138,171,157
169,44.4444,List not found : ,159,198,134,151,174 , List used : ,168,170,159,198,134,171,151,174,202
180,11.1111,List not found : ,159,134,140,165,138,157,168,156 , List used : ,159,134,140,165,138,157,185,168,156
207,44.4444,List not found : ,199,141,147,149,146 , List used : ,209,208,200,199,142,141,147,149,146
Average  ,35.3535

ratio CLD / HTD : 20% number img used  10
0,60,List not found : ,67,5,6,60 , List used : ,61,25,67,37,5,70,33,6,60,69
1,20,List not found : ,16,89,49,32,76,28,29,38 , List used : ,2,16,89,49,32,3,76,28,29,38
44,40,List not found : ,53,14,30,42,31,78 , List used : ,43,45,39,40,53,14,30,42,31,78
52,20,List not found : ,30,59,72,31,101,14,78,71 , List used : ,53,30,59,72,31,101,14,50,78,71
71,40,List not found : ,38,57,50,34,1,30 , List used : ,29,20,7,38,57,50,34,68,1,30
86,20,List not found : ,81,125,124,118,99,110,113,128 , List used : ,80,81,125,124,118,99,110,96,113,128
141,40,List not found : ,202,131,171,133,135,175 , List used : ,142,199,176,143,202,131,171,133,135,175
144,30,List not found : ,198,159,132,168,138,171,137 , List used : ,198,158,159,132,164,168,138,171,157,137
169,40,List not found : ,159,198,134,151,174,206 , List used : ,168,170,159,198,134,171,151,174,202,206
180,20,List not found : ,159,134,140,165,138,157,168,156 , List used : ,159,134,140,165,138,157,185,168,156,174
207,50,List not found : ,199,141,147,149,146 , List used : ,209,208,200,199,142,141,147,149,146,210
Average  ,34.5455

ratio CLD / HTD : 30% number img used  1
0,100,List not found :  , List used : ,61
1,100,List not found :  , List used : ,2
44,100,List not found :  , List used : ,43
52,100,List not found :  , List used : ,53
71,100,List not found :  , List used : ,29
86,100,List not found :  , List used : ,80
141,100,List not found :  , List used : ,142
144,100,List not found :  , List used : ,158
169,100,List not found :  , List used : ,168
180,0,List not found : ,134 , List used : ,134
207,100,List not found :  , List used : ,209
Average  ,90.9091

ratio CLD / HTD : 30% number img used  2
0,50,List not found : ,67 , List used : ,61,67
1,50,List not found : ,16 , List used : ,2,16
44,100,List not found :  , List used : ,43,45
52,50,List not found : ,30 , List used : ,53,30
71,100,List not found :  , List used : ,29,7
86,50,List not found : ,81 , List used : ,80,81
141,100,List not found :  , List used : ,142,176
144,50,List not found : ,198 , List used : ,158,198
169,100,List not found :  , List used : ,168,170
180,0,List not found : ,134,159 , List used : ,134,159
207,100,List not found :  , List used : ,209,208
Average  ,68.1818

ratio CLD / HTD : 30% number img used  3
0,66.6667,List not found : ,67 , List used : ,61,67,25
1,33.3333,List not found : ,16,49 , List used : ,2,16,49
44,100,List not found :  , List used : ,43,45,39
52,33.3333,List not found : ,30,72 , List used : ,53,30,72
71,66.6667,List not found : ,38 , List used : ,29,7,38
86,33.3333,List not found : ,81,125 , List used : ,80,81,125
141,100,List not found :  , List used : ,142,176,199
144,33.3333,List not found : ,198,159 , List used : ,158,198,159
169,66.6667,List not found : ,159 , List used : ,168,170,159
180,0,List not found : ,134,159,140 , List used : ,134,159,140
207,100,List not found :  , List used : ,209,208,200
Average  ,57.5758

ratio CLD / HTD : 30% number img used  4
0,75,List not found : ,67 , List used : ,61,67,25,37
1,25,List not found : ,16,49,76 , List used : ,2,16,49,76
44,100,List not found :  , List used : ,43,45,39,40
52,25,List not found : ,30,72,101 , List used : ,53,30,72,101
71,75,List not found : ,38 , List used : ,29,7,38,20
86,25,List not found : ,81,125,118 , List used : ,80,81,125,118
141,100,List not found :  , List used : ,142,176,199,143
144,50,List not found : ,198,159 , List used : ,158,198,159,157
169,50,List not found : ,159,134 , List used : ,168,170,159,134
180,25,List not found : ,134,159,140 , List used : ,134,159,140,185
207,75,List not found : ,199 , List used : ,209,208,200,199
Average  ,56.8182

ratio CLD / HTD : 30% number img used  5
0,60,List not found : ,67,5 , List used : ,61,67,25,37,5
1,20,List not found : ,16,49,76,89 , List used : ,2,16,49,76,89
44,80,List not found : ,53 , List used : ,43,45,39,40,53
52,20,List not found : ,30,72,101,14 , List used : ,53,30,72,101,14
